feature,importance_gain
total_seats,0.0
scheduled_ground_time_minutes,0.0
actual_ground_time_minutes,0.0
minimum_turn_minutes,0.0
pnr_rows,0.0
pax_proxy,0.0
infants,0.0
ssr_wch,0.0
umnr,0.0
ssr_rate,0.0
total_bags,0.0
special_bags,0.0
special_bag_ratio,0.0
transfer_checked_ratio,0.0
dep_hour,0.0
dep_dow,0.0
dep_month,0.0
arr_hour_x,0.0
arr_dow,0.0
arr_month,0.0
red_eye,0.0
bank_window,0.0
is_peak_season,0.0
planned_turn_minutes,0.0
std_turn_minutes,0.0
turn_slack,0.0
dep_delay_rate_roll28,0.0
taxi_out_delta,0.0
arr_delay_rate_roll28,0.0
route_delay_rate_roll28,0.0
route_cxl_rate_roll28,0.0
arrivals_same_hour,0.0
intl_flag,0.0
dep_hub_flag,0.0
arr_hub_flag,0.0
type_diff_rate,0.0
